Time differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (time diff)
((1, 40), (2, 28), (98))
((1, 40), (2, 30), (93))
((1, 40), (2, 31), (89))
((1, 40), (2, 32), (88))
((1, 40), (2, 33), (86))
((1, 40), (2, 39), (59))
((1, 40), (2, 44), (55))
((1, 40), (2, 45), (56))
((1, 40), (2, 48), (46))
((1, 40), (2, 49), (42))
((1, 40), (2, 50), (44))
((1, 40), (2, 52), (37))
((1, 40), (2, 53), (39))
((1, 40), (2, 6), (172))
((1, 40), (2, 8), (173))
((1, 41), (2, 1), (185))
((1, 41), (2, 11), (169))
((1, 41), (2, 19), (137))
((1, 41), (2, 2), (184))
((1, 41), (2, 20), (138))
((1, 41), (2, 24), (126))
((1, 41), (2, 26), (124))
((1, 41), (2, 28), (106))
((1, 41), (2, 30), (101))
((1, 41), (2, 31), (97))
((1, 41), (2, 32), (96))
((1, 41), (2, 33), (94))
((1, 41), (2, 39), (67))
((1, 41), (2, 44), (63))
((1, 41), (2, 45), (64))
((1, 41), (2, 48), (54))
((1, 41), (2, 49), (50))
((1, 41), (2, 50), (52))
((1, 41), (2, 52), (45))
((1, 41), (2, 53), (47))
((1, 41), (2, 6), (180))
((1, 41), (2, 8), (181))
((1, 42), (2, 1), (184))
((1, 42), (2, 11), (168))
((1, 42), (2, 19), (136))
((1, 42), (2, 2), (183))
((1, 42), (2, 20), (137))
((1, 42), (2, 24), (125))
((1, 42), (2, 26), (123))
((1, 42), (2, 28), (105))
((1, 42), (2, 30), (100))
((1, 42), (2, 31), (96))
((1, 42), (2, 32), (95))
((1, 42), (2, 33), (93))
((1, 42), (2, 39), (66))
((1, 42), (2, 44), (62))
((1, 42), (2, 45), (63))
((1, 42), (2, 48), (53))
((1, 42), (2, 49), (49))
((1, 42), (2, 50), (51))
((1, 42), (2, 52), (44))
((1, 42), (2, 53), (46))
((1, 42), (2, 6), (179))
((1, 42), (2, 8), (180))
((1, 43), (2, 1), (178))
((1, 43), (2, 11), (162))
((1, 43), (2, 19), (130))
((1, 43), (2, 2), (177))
((1, 43), (2, 20), (131))
((1, 43), (2, 24), (119))
((1, 43), (2, 26), (117))
((1, 43), (2, 28), (99))
((1, 43), (2, 30), (94))
((1, 43), (2, 31), (90))
((1, 43), (2, 32), (89))
((1, 43), (2, 33), (87))
((1, 43), (2, 39), (60))
((1, 43), (2, 44), (56))
((1, 43), (2, 45), (57))
((1, 43), (2, 48), (47))
((1, 43), (2, 49), (43))
((1, 43), (2, 50), (45))
((1, 43), (2, 52), (38))
((1, 43), (2, 53), (40))
((1, 43), (2, 6), (173))
((1, 43), (2, 8), (174))
((1, 44), (2, 1), (178))
((1, 44), (2, 11), (162))
((1, 44), (2, 19), (130))
((1, 44), (2, 2), (177))
((1, 44), (2, 20), (131))
((1, 44), (2, 24), (119))
((1, 44), (2, 26), (117))
((1, 44), (2, 28), (99))
((1, 44), (2, 30), (94))
((1, 44), (2, 31), (90))
((1, 44), (2, 32), (89))
((1, 44), (2, 33), (87))
((1, 44), (2, 39), (60))
((1, 44), (2, 44), (56))
((1, 44), (2, 45), (57))
((1, 44), (2, 48), (47))
((1, 44), (2, 49), (43))
((1, 44), (2, 50), (45))
((1, 44), (2, 52), (38))
((1, 44), (2, 53), (40))
((1, 44), (2, 6), (173))
((1, 44), (2, 8), (174))
((1, 45), (2, 1), (179))
((1, 45), (2, 11), (163))
((1, 45), (2, 19), (131))
((1, 45), (2, 2), (178))
((1, 45), (2, 20), (132))
((1, 45), (2, 24), (120))
((1, 45), (2, 26), (118))
((1, 45), (2, 28), (100))
((1, 45), (2, 30), (95))
((1, 45), (2, 31), (91))
((1, 45), (2, 32), (90))
((1, 45), (2, 33), (88))
((1, 45), (2, 39), (61))
((1, 45), (2, 44), (57))
((1, 45), (2, 45), (58))
((1, 45), (2, 48), (48))
((1, 45), (2, 49), (44))
((1, 45), (2, 50), (46))
((1, 45), (2, 52), (39))
((1, 45), (2, 53), (41))
((1, 45), (2, 6), (174))
((1, 45), (2, 8), (175))
((1, 46), (2, 1), (188))
